Year,Year ending,Offence Subdivision,Offence Group,Offence Description,CSA Drug Type,Offence Count
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPEND LARGE COMM QTY,Not Recorded,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPENDENCE COMM QTY,Not Recorded,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK ECSTASY-MDMA/MDA/MDEA/MDA'S,Ecstasy,6
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK HEROIN,Heroin,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK KETAMINE,Other,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK LARGE COMM QTY -AMPHETAMINE,Amphetamine,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,19
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT IMPORT BORDER CONTROLLED DRUG,Not Recorded,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT POSSESS BORDER CONTROLLED DRUG,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT TRAFFICK ALPRAZOLAM,Prescription,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT TRAFFICK GHB,GHB,5
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TO TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,7
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAF LGE COMM QTY- METHYLAMPHET,Methylamphetamine,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAFFICK CANNABIS,Cannabis,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAFFICK D.O.D - LARGE COMM QTY,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMP COM QTY BORDER CONT DRUG-METHAMPHETA,Methylamphetamine,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMP MRK QTY BORDER CONT DRUG-METHAMPHETA,Methylamphetamine,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT A BORDER CONTROLLED DRUG,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTD DRUG-METHAMPHETAMINE,Methylamphetamine,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLD DRUG-AMPHETAMINE,Methylamphetamine,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLED DRUG - CANNABIS,Cannabis,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLED DRUG - COCAINE,Cocaine,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT COMM QTY BORDER CONT DRUG-COCAINE,Cocaine,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT COMM QTY BORDER CONTROLLED DRUG,Not Recorded,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MARK QTY BORDER CONTD DRUG-HEROIN,Heroin,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MARKET QTY BORDER CONTROLLED DRUG,Not Recorded,22
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MRK QTY BORDER CONT DRUG-COCAINE,Cocaine,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT TIER 1 GOODS - ANABOLIC SUBSTANCE,Other,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,INT PRMIT USE OF LAND/PRE FOR TRAF D.O.D,Not Recorded,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,INT PRMT USE OF LAND/PREM FOR CULT D.O.D,Not Recorded,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS COMM QTY BORD CONT DRUG-SUSP IMPORT,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS COMM QTY IMPORTED BORDER CONT DRUG,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS MARK QTY BORD CONT DRUG-SUSP IMPORT,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAF COMM QTY 1,4-BUTANEDIOL (1,4-BD)",GHB,25
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK - EPHEDRINE,Other,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAFFICK 1,4-BUTANEDIOL (1,4-BD)",GHB,252
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ALPRAZOLAM,Prescription,69
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK AMPHETAMINE,Amphetamine,100
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ANABOLIC STEROIDS,Other,24
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK BUPRENORPHINE,Prescription,15
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CANNABIS,Cannabis,1007
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COCAINE,Cocaine,397
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - AMPHETAMINE,Amphetamine,5
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - CANNABIS,Cannabis,82
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - COCAINE,Cocaine,14
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - ECSTASY,Ecstasy,18
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - GHB,GHB,21
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - HEROIN,Heroin,17
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - KETAMINE,Other,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - LSD,Other,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - MDMA (ECSTASY),Ecstasy,7
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - PRESCRIBED DRUGS,Prescription,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - PSEUDOEPHEDRINE,Other,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY OF CONTROLLED DRUG,Not Recorded,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,140
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-OTHER HALLUCINOGENIC,Other,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CONTROLLED DRUG - CANNABIS,Cannabis,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CONTROLLED DRUG - MDMA,Ecstasy,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CONTROLLED DRUG-METHAMPHETAMINE,Methylamphetamine,8
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DIAZEPAM,Prescription,35
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPEND LARGE COMM QTY,Not Recorded,27
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE,Not Recorded,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,215
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE COMM QTY,Not Recorded,26
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE TO A CHILD,Not Recorded,45
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ECSTASY (MDMA/MDA/MDEA/MDA'S),Ecstasy,175
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK GHB,GHB,315
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK HEROIN,Heroin,299
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK IN A CONTROLLED DRUG,Not Recorded,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK KETAMINE,Other,50
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - AMPHETAMINE,Amphetamine,2
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - CANNABIS,Cannabis,10
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - COCAINE,Cocaine,5
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - ECSTASY,Ecstasy,8
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - HEROIN,Heroin,8
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - PRESC DRUGS,Prescription,3
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY-OTHER HALLUCIN,Other,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LGE COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,41
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LSD,Other,26
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MARKET QTY CONTRLD DRUG-COCAINE,Cocaine,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MARKETABLE QTY CONTROLLED DRUG,Not Recorded,1
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MDMA (ECSTASY),Ecstasy,64
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,1642
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK OXYCODONE,Prescription,7
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK PSILOCYBIN,Other,9
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK SYNTHETIC CANNABINOID,Cannabis,4
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TESTOSTERONE,Prescription,5
2021,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TETRAHYDROCANNABINOL,Cannabis,3
2021,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,ATT CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,6
2021,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CONSPIRE TO CULTIVATE CANNABIS- COMM QTY,Not Coded,2
2021,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT COMM QTY-CANNABIS,Not Coded,116
2021,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT LGE COMM QTY-CANNABIS,Not Coded,15
2021,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,1114
2021,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULTIVATE NARCOTIC PLANT-NOT CANNABIS,Not Coded,2
2021,March,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,MANUF COMM QTY CONT DRUG-METHAMPHETAMINE,Not Coded,1
2021,March,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,PRODUCE PSYCHOACTIVE SUBSTANCE,Not Coded,1
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS MORE THAN 1 TYPE PRECURSOR CHEMICAL,Not Coded,2
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS PRECURSOR CHEM-MORE THAN PRESCR QTY,Not Coded,14
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,"POSSESS 1,4-BUTANEDIOL",Not Coded,640
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS A CONTROLLED PRECURSOR,Not Coded,8
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS A TABLET PRESS,Not Coded,8
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS AMMONIA,Not Coded,2
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS BENZALDEHYDE,Not Coded,3
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS EPHEDRINE,Not Coded,1
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS EQUIPMENT FOR TRAFFICKING D.O.D,Not Coded,42
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS FORMALDEHYDE,Not Coded,3
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS GAMMA BUTYROLACTONE,Not Coded,6
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS GAMMA HYDROXYBUTANOIC ACID,Not Coded,76
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS HYDROBROMIC ACID,Not Coded,1
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS HYPOPHOSPHOROUS ACID,Not Coded,6
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS IODINE,Not Coded,14
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MAGNESIUM,Not Coded,3
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MATERIAL FOR TRAFFICKING D.O.D,Not Coded,10
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MERCURIC CHLORIDE,Not Coded,5
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MERCURY,Not Coded,2
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS METHYLAMINE,Not Coded,22
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS NITROMETHANE,Not Coded,1
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHENYLACETONITRILE,Not Coded,8
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHOSPHORUS,Not Coded,4
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PSEUDOEPHEDRINE,Not Coded,5
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SAFROLE,Not Coded,9
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SODIUM,Not Coded,3
2021,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SUBSTANCE FOR TRAFFICKING D.O.D,Not Coded,5
2021,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE AMPHETAMINE,Amphetamine,1
2021,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE CANNABIS,Cannabis,1
2021,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE DRUG OF DEP. -HALLUCINOGEN,Other,1
2021,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE DRUG OF DEPEND. (NOT NAMED),Not Recorded,2
2021,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE HEROIN,Heroin,1
2021,March,C30 Drug use and possession,C31 Drug use,"USE 1,4-BUTANEDIOL (1,4-BD)",GHB,7
2021,March,C30 Drug use and possession,C31 Drug use,USE AMPHETAMINE,Amphetamine,56
2021,March,C30 Drug use and possession,C31 Drug use,USE CANNABIS,Cannabis,222
2021,March,C30 Drug use and possession,C31 Drug use,USE COCAINE,Cocaine,9
2021,March,C30 Drug use and possession,C31 Drug use,USE DIAZEPAM,Prescription,1
2021,March,C30 Drug use and possession,C31 Drug use,USE DRUG OF DEPEND. -HALLUCINOGEN,Other,5
2021,March,C30 Drug use and possession,C31 Drug use,USE DRUG OF DEPEND. -PRESCRIPTION DRUG,Prescription,19
2021,March,C30 Drug use and possession,C31 Drug use,USE ECSTASY,Ecstasy,8
2021,March,C30 Drug use and possession,C31 Drug use,USE GHB,GHB,28
2021,March,C30 Drug use and possession,C31 Drug use,USE HEROIN,Heroin,30
2021,March,C30 Drug use and possession,C31 Drug use,USE LSD,Other,3
2021,March,C30 Drug use and possession,C31 Drug use,USE METHYLAMPHETAMINE,Methylamphetamine,121
2021,March,C30 Drug use and possession,C31 Drug use,USE OTHER DRUG OF DEPENDENCE,Not Recorded,24
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS AMPHETAMINE,Amphetamine,8
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS CANNABIS,Cannabis,31
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS COCAINE,Cocaine,4
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEP. -HALLUCINOGEN,Other,2
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEP. -PRESCR. DRUG,Not Recorded,22
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEPEND (NOT NAMED),Not Recorded,14
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS ECSTASY,Ecstasy,2
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS HEROIN,Heroin,5
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS LSD,Other,1
2021,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS METHYLAMPHETAMINE,Methylamphetamine,16
2021,March,C30 Drug use and possession,C32 Drug possession,"ATTEMPT POSSESS 1,4-BUTANEDIOL (1,4-BD)",GHB,6
2021,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT POSSESS ALPRAZOLAM,Prescription,6
2021,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT POSSESS BUPRENORPHINE,Prescription,4
2021,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT POSSESS MDMA (ECSTASY),Ecstasy,2
2021,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT POSSESS SYNTHETIC CANNABINOID,Cannabis,1
2021,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT TO POSSESS A DRUG OF DEPENDENCE,Not Recorded,24
2021,March,C30 Drug use and possession,C32 Drug possession,CONSPIRE POSSESS CANNABIS,Cannabis,1
2021,March,C30 Drug use and possession,C32 Drug possession,CONSPIRE POSSESS OTHER DRUG,Not Recorded,1
2021,March,C30 Drug use and possession,C32 Drug possession,"POSSESS 1,4-BUTANEDIOL (1,4-BD)",GHB,497
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS 4-HYDROXYBUTANOIC ACID (GHB),GHB,174
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS A CONTROLLED DRUG,Not Recorded,3
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS A DRUG OF DEPENDENCE,Not Recorded,915
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 4 POISON,Prescription,660
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 8 POISON,Not Recorded,44
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 9 POISON,Not Recorded,2
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS ALPRAZOLAM,Prescription,236
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS AMPHETAMINE,Amphetamine,616
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS ANABOLIC STEROIDS,Other,144
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS BUPRENORPHINE,Prescription,19
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS CANNABIS,Cannabis,11191
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS CANNABIS (NOT TRAFFICKING),Cannabis,37
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS COCAINE,Cocaine,777
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS COMMERCIAL QUANTITY - CANNABIS,Cannabis,3
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS CONTROLLED DRUG - CANNABIS,Cannabis,28
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS CONTROLLED DRUG - MDMA,Ecstasy,14
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS CRACK,Cocaine,4
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS DIAZEPAM,Prescription,292
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS DIMETHYLAMPHETAMINE,Methylamphetamine,6
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPEND. -HALLUCINOGEN,Other,146
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPEND. -PRESCRIPT DRUG,Prescription,3956
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPENDENCE - KETAMINE,Other,149
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,871
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS ECSTASY,Ecstasy,814
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS GHB,GHB,1152
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS HEROIN,Heroin,1007
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS LSD,Other,167
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS MDEA (ECSTASY),Ecstasy,1
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS MDMA (ECSTASY),Ecstasy,207
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS METHYLAMPHETAMINE,Methylamphetamine,7079
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS MORPHINE,Prescription,9
2021,March,C30 Drug use and possession,C32 Drug possession,"POSSESS N, N-DIMETHYLTRYPTAMINE",Other,4
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS OXYCODONE,Prescription,63
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS PSILOCYBIN,Other,41
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS SYNTH CANNABINOID (AB-PINACA),Cannabis,2
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS SYNTHETIC CANNABINOID,Cannabis,27
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS TESTOSTERONE,Prescription,46
2021,March,C30 Drug use and possession,C32 Drug possession,POSSESS TETRAHYDROCANNABINOL,Cannabis,27
2021,March,C90 Other drug offences,C99 Other drug offences,ATT SUPPLY DRUG OF DEPENDENCE TO CHILD,Not Coded,5
2021,March,C90 Other drug offences,C99 Other drug offences,ATT TO CAUSE PHARM. DISPENSE PRESCRIPT,Not Coded,2
2021,March,C90 Other drug offences,C99 Other drug offences,ATT TO CAUSE PHARM. SUPPLY DRUG OF DEP,Not Coded,1
2021,March,C90 Other drug offences,C99 Other drug offences,ATT TO INDUCE PHARM. DISPENSE PRESCRIPT,Not Coded,1
2021,March,C90 Other drug offences,C99 Other drug offences,CAUSE DRUG ADMIN. - FALSE REPRESENTATION,Not Coded,1
2021,March,C90 Other drug offences,C99 Other drug offences,CAUSE PHARM DISPENSE DRUG -FALSE REP,Not Coded,8
2021,March,C90 Other drug offences,C99 Other drug offences,INDUCE MP ADMINISTER DRUG OF DEPENDENCE,Not Coded,1
2021,March,C90 Other drug offences,C99 Other drug offences,PERSON ADMINISTER SCHEDULE 4 POISON,Not Coded,1
2021,March,C90 Other drug offences,C99 Other drug offences,POSS DOC-CONTAIN INSTRCTN FOR CULT D.O.D,Not Coded,2
2021,March,C90 Other drug offences,C99 Other drug offences,POSS DOC-CONTAIN INSTRCTN FOR TRAF D.O.D,Not Coded,6
2021,March,C90 Other drug offences,C99 Other drug offences,POSSESS SUBS/MAT/DOC/EQUP TRAFFICK D.O.D,Not Coded,34
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,INTRODUCE DRUG INTO REMAND CENTRE,Not Recorded,14
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,KNOWINGLY SELL PSYCHOACTIVE SUBSTANCE,Other,3
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SELL DELETERIOUS SUBS. FOR INHALING,Not Recorded,1
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SELL PSYCHOACTIVE SUBSTANCE,Other,7
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SELL/SUPPLY DEL. SUBS FOR OTHER - INHALE,Not Recorded,1
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SEND NARCOTIC SUBSTANCE IN POST-C'WEALTH,Not Recorded,3
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY A CONTROLLED DRUG TO A CHILD,Not Recorded,4
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD - USE BY THAT CHILD,Not Recorded,31
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD-TO SUPPLY ANOR PERSN,Not Recorded,1
2020,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY PSYCHOACTIVE SUBSTANCE,Other,4
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT IMP COM QTY BORDER CONTROLLED DRUG,Not Recorded,8
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COMM QTY BORDER CONTROLLED DRUG,Not Recorded,2
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS MARKETBL QTY BORDER CNTRLD DRUG,Not Recorded,1
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"ATT TRAFF COMM QTY-MIX CONTAIN (1,4-BD)",GHB,1
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFF DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,8
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK AMPHETAMINE,Amphetamine,1
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK CANNABIS,Cannabis,13
2020,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY - COCAINE,Cocaine,2
